,source,target,weight
484,Senior Software Engineer,Software Engineer,18
485,Interim Head of Corporate Communications,Senior Director of Communications,1
486,Senior Director of Communications,Director of Communications,1
487,Director of Communications,Chief of Staff,1
488,Chief of Staff,Chief Communications Officer,1
489,Global Product Line Manager (Data Center Networking),Product & Technical Marketing,1
490,Product & Technical Marketing,Product Marketing Manager,1
491,Product Marketing Manager,Senior Network Architect,1
492,Senior Network Architect,Director,1
493,Director,Software Engineer,1
494,Software Engineer,Director,1
495,Director,Advisor,2
496,Advisor,Manager,1
497,Manager,Customer Advocacy - Technical Support Engineer,1
498,Customer Advocacy - Technical Support Engineer,Manager of Telecom,1
499,Manager of Telecom,Project Manager,1
500,Staff Software Engineer,Software Engineer,2
501,Software Engineer,Chief Architect,1
502,Chief Architect,Director of Engineering,1
503,Director of Engineering,Software Engineer,2
504,Software Engineer,Systems Programmer,2
505,Systems Programmer,Intern,1
506,Intern,Programmer/Analyst,1
507,Programmer/Analyst,Teaching Assistant,1
508,Teaching Assistant,Student Consultant,1
509,Student Consultant,Intern (summer),1
510,Senior Director  Product Development,Client Security Czar  Mgr JavaScript Group,1
511,Client Security Czar  Mgr JavaScript Group,Technical Lead,1
512,Technical Lead,Development Manager  Compiler Front End,1
513,Development Manager  Compiler Front End,Software Engineer,1
514,Global VP  ISV and Technology Alliances,Co-Founder and Former Board of Directors,1
515,Co-Founder and Former Board of Directors,Co-Founder & Investor,1
516,Co-Founder & Investor,Member of the Board of Directors,1
517,Member of the Board of Directors,Senior Vice President Channels and Alliances,1
518,Senior Vice President Channels and Alliances,Senior Vice President and Chief Product Officer,1
519,Senior Vice President and Chief Product Officer,Global Vice President  ISV and Channel Alliances (Appexchange),1
520,Global Vice President  ISV and Channel Alliances (Appexchange),Vice President  Marketing,1
521,Vice President  Marketing,Vice President Products and Marketing,1
522,Vice President Products and Marketing,Managing Director,1
523,Managing Director,Vice President and General Manager,1
524,Vice President and General Manager,Senior Engagement Manager,1
525,Senior Engagement Manager,Senior Product Manager/Member of Technical Staff,1
526,Director  Corporate Development & Strategy,Senior Manager IV  Corporate Development & Strategic Planning,1
527,Senior Manager IV  Corporate Development & Strategic Planning,Senior Manager III  Corporate Strategic Planning,1
528,Senior Manager III  Corporate Strategic Planning,Vice President,1
529,Vice President,Senior Consultant,2
530,Senior Consultant,Associate Consultant,1
531,Associate Consultant,Vice President-Elect  Derivatives Products Group,1
532,Vice President-Elect  Derivatives Products Group,Vice President  Mortgage-backed Analytics,1
533,Senior Director  Enterprise Data Management,Consultant - Data Analytics,1
534,Consultant - Data Analytics,Director  Database and Application Services,1
535,Director  Database and Application Services,Peoplesoft Administrator,1
536,Peoplesoft Administrator,Systems Engineer - Oracle,1
537,Systems Engineer - Oracle,Manager  Peoplesoft/Oracle DBA Team,1
538,Manager  Peoplesoft/Oracle DBA Team,Senior Oracle DBA,1
539,Senior Oracle DBA,Oracle DBA,1
540,Manager  Channel Business Development,Senior Business Consultant,1
541,Senior Director  Operational Analytics,Senior Director  Program Management,1
542,Senior Director  Program Management,Agile Coach  Transformation Lead,1
543,Agile Coach  Transformation Lead,Senior Program Manager,1
544,Senior Program Manager,Service Delivery Manager,1
545,Service Delivery Manager,ADV Project Manager,1
546,ADV Project Manager,Program Manager,1
547,Program Manager,Product Manager,2
548,Senior Product Manager,Product Manager,12
549,Product Manager,Co-Founder,2
550,Co-Founder,Product Manager,1
551,Product Manager,Management Consultant,1
552,WW Global Channel Operations Marketing Manager,Business Operatios Manager Inside Sales,1
553,Business Operatios Manager Inside Sales,US Channel Strategy Manager,1
554,US Channel Strategy Manager,Strategy and Process Consultant,1
555,Strategy and Process Consultant,Performance Management Senior Consultant,1
556,Performance Management Senior Consultant,Marketing Consultant,1
557,Marketing Consultant,Trek Leader,1
558,Founder & Distinguished Committer,Consulting Engineer,1
559,Consulting Engineer,Consultant  Vice President Engineering  Strategic Advisor,1
560,Consultant  Vice President Engineering  Strategic Advisor,Part time CTO,1
561,Part time CTO,Another Brick,1
562,Another Brick,Founder,1
563,Founder,CEO & Founder,1
564,CEO & Founder,Committer,1
565,Committer,Founder,1
566,Founder,Botherer of Luke,1
567,Botherer of Luke,Consultant,1
568,Consultant,President,1
569,Director of Technical Sales Training  Juniper University,Worldwide Technical Field Strategist,1
570,Worldwide Technical Field Strategist,Technical Marketing Engineer - Security,1
571,Technical Marketing Engineer - Security,Area Channel Systems Engineer,1
572,Area Channel Systems Engineer,Channel Systems Engineer,1
573,Channel Systems Engineer,Systems Engineer,1
574,Systems Engineer,Network Manager,2
575,Network Manager,Systems Engineer,1
576,Systems Engineer,Team Lead - Operations,1
577,Staff Software Engineer,Senior Software Engineer,2
578,Senior Software Engineer,Senior Tech Yahoo,1
579,Senior Tech Yahoo,Member Technical Staff,1
580,Member Technical Staff,Staff Software Engineer,1
581,Software Engineer,Manager & Senior Software Engineer,1
582,Manager & Senior Software Engineer,Software Engineer,1
583,Senior Director  Services IT,Senior Director  IT,1
584,Senior Director  IT,Senior Director  CIO Chief of Staff & Business Operations,1
585,Senior Director  CIO Chief of Staff & Business Operations,Senior Director  IT Acquisitions Integration,1
586,Senior Director  IT Acquisitions Integration,Director  Supply Chain Test  Reliability  and Environmental Sustainability,1
587,Director  Supply Chain Test  Reliability  and Environmental Sustainability,Director  Global Supplier Management,1
588,Director  Global Supplier Management,Manager  Business Development Software & Partnerships,1
589,Manager  Business Development Software & Partnerships,Sales Manager,1
590,Senior Director  Corporate Strategy,Director  Corporate Strategy,1
591,Director  Corporate Strategy,Principal  Product Strategy,1
592,Principal  Product Strategy,Senior Product Manager,1
593,Senior Product Manager,Director  Network Solutions,1
594,Director  Network Solutions,Associate,1
595,Editor  copy editor  writer,Senior editor,1
596,Senior editor,Associate editor,1
597,Associate editor,Staff editor,1
598,Staff editor,Copy editor,1
599,Application Developer,Part-Time Instructor,1
600,Part-Time Instructor,Web Developer/System Administrator,1
601,Web Developer/System Administrator,Senior Software Engineer,1
602,RosettaNet Implementation Manager,Senior Development Manager,1
603,Senior Development Manager,Manager  Professional Services,1
604,Manager  Professional Services,Senior Analyst,1
605,Consulting Systems Engineer,Systems Engineer,2
606,Systems Engineer,Customer Support Engineer,1
607,Customer Support Engineer,Systems Engineer,2
608,Systems Engineer,Business Analyst,1
609,Business Analyst,Logistics Intern,1
610,Senior Consulting Project Manager,Senior IT Infrastructure Project / Program Manager,1
611,Senior IT Infrastructure Project / Program Manager,Senior Project Manager - EMS,1
612,Senior Project Manager - EMS,Principal Project Manager,1
613,Principal Project Manager,Senior IT Project Manager,1
614,Senior IT Project Manager,Technical Project Manager,1
615,Technical Project Manager,Principal Program Manager,1
616,Principal Program Manager,Senior Technical Support Engineer,1
617,Senior Technical Support Engineer,Technical Program Manager,1
618,Technical Program Manager,Senior Technical Support Engineer,1
619,Senior Technical Support Engineer,Customer Support Engineer (TAC),1
620,Director  Tech and Products Recruiting,Senior Talent Acquistion Manager,1
621,Senior Talent Acquistion Manager,Lead Recruiter  Yahoo! Product Management,1
622,Lead Recruiter  Yahoo! Product Management,Senior Technical Recruiter,1
623,Senior Technical Recruiter,Lead Recruiter  NA Sales and Presales,1
624,Lead Recruiter  NA Sales and Presales,HRBP,1
625,HRBP,Lead Technical Recruiter  Clarify eBusiness CRM suite,1
626,Lead Technical Recruiter  Clarify eBusiness CRM suite,Senior Recruiter,1
627,Senior Recruiter,Sales Recruiter,1
628,Software Engineer,Co-founder/Principal Engineer,1
629,Co-founder/Principal Engineer,Software Development Engineer,1
630,Software Development Engineer,Senior Software Engineer,1
631,Senior Software Engineer,Contract Software Developer,1
632,Contract Software Developer,Principal Engineer,1
633,Principal Engineer,Software Engineer,1
634,Software Engineer,Senior Scientist,1
635,Senior Scientist,Senior Research Software Engineer,1
636,Senior Research Software Engineer,Software Architect,1
637,Software Architect,Systems Administrator,1
638,Systems Administrator,Software Engineer,1
639,Software Engineer,Contract Software Development Engineer,1
640,Contract Software Development Engineer,Staff Engineer,1
641,Staff Engineer,Principal Engineer,1
642,Principal Engineer,Co Founder  Vice President of Engineering,1
643,Co Founder  Vice President of Engineering,Software Engineer,1
644,Software Engineer,Sister,1
645,Senior Product Manager,Founder & CEO,1
646,Founder & CEO,Program Manager,1
647,Product Manager,Senior Software Engineer,1
648,Software Engineer,System Engineer,1
649,Senior Campaign Manager  Cloud Applications - NA Marketing  (Consultant),Senior Manager Global Campaigns,1
650,Senior Manager Global Campaigns,Alliance Senior Program Manager Consultant,1
651,Alliance Senior Program Manager Consultant,Integrated Marketing Communications Manager Consultant,1
652,Integrated Marketing Communications Manager Consultant,Global Senior Marketing Manager Consultant,1
653,Global Senior Marketing Manager Consultant,Alliance Senior Program Manager Consultant,1
654,Alliance Senior Program Manager Consultant,Global Senior Campaign Manager Consultant,1
655,Global Senior Campaign Manager Consultant,Event Program Manager Consultant,1
656,Event Program Manager Consultant,Senior Program Manager  Ecosystem & Market Development Consultant,1
657,Senior Program Manager  Ecosystem & Market Development Consultant,Market Development Manager Consultant,1
658,Market Development Manager Consultant,Project Manager for User-based Advertising Contest Consultant,1
659,Project Manager for User-based Advertising Contest Consultant,Product Marketing Manager Consultant,1
660,Product Marketing Manager Consultant,Marketing Commmunications Manager for Worldwide Channels Consultant,1
661,Marketing Commmunications Manager for Worldwide Channels Consultant,Marketing Manager & Web Producer Consultant,1
662,Regional Sales Manager,Director of Sales,2
663,Director of Sales,Region Sales Manager Converged Data Networks,1
664,VoIP Consulting Engineer,Founder  Network Architect,1
665,Founder  Network Architect,Senior Telephony Architect,1
666,Senior Telephony Architect,Chairman  VoIP Operations Committee,1
